Timestamp_Seconds	Memory_Usage_MB
387.51	4148.30
388.68	3968.02
389.86	3999.39
391.04	3965.98
392.22	3973.48
393.40	4124.31
394.58	3451.06
395.76	3452.66
396.93	3452.73
398.11	3452.75
399.29	3452.75
400.47	3452.76
401.65	3452.76
402.82	3453.56
404.00	3528.29
405.18	3442.92
406.36	3464.32
407.54	3521.25
408.71	3446.05
409.89	3527.91
411.07	3442.92
412.25	3456.54
413.43	3521.09
414.60	3446.55
415.78	3537.59
416.96	3442.92
418.14	3452.06
419.31	3521.94
420.49	3447.69
421.67	3549.81
422.85	3442.29
424.02	3449.69
425.20	3521.95
426.38	3447.69
427.56	3549.56
428.73	3442.29
429.91	3449.68
431.09	3678.50
432.26	3862.39
433.44	3862.87
434.62	3862.91
435.80	3862.92
436.97	3862.93
438.15	3862.93
439.33	3862.93
440.51	3863.71
441.68	3915.43
442.86	3932.24
444.04	3856.72
445.21	3668.54
446.39	3856.09
447.57	3913.16
448.75	3931.76
449.92	3858.01
451.10	3671.79
452.28	3856.09
453.46	3911.15
454.63	3931.69
455.81	3857.86
456.99	3673.79
458.16	3856.09
459.34	3911.15
460.52	3931.35
461.70	3859.71
462.87	3675.79
464.05	3856.09
465.23	3909.12
466.40	3642.73
467.58	3859.71
468.75	3695.98
469.93	3648.59
471.11	3650.25
472.29	3650.33
473.47	3650.35
474.64	3650.35
475.82	3650.36
477.00	3651.21
478.18	3704.87
479.35	3645.92
480.53	3441.43
481.70	3521.25
482.88	3699.06
484.06	3699.43
485.24	3643.52
486.41	3455.08
487.59	3473.81
488.77	3701.18
489.94	3696.55
491.12	3643.52
492.30	3494.26
493.47	3441.46
494.65	3701.19
495.83	3695.44
497.00	3643.67
498.18	3528.42
499.35	3441.46
500.53	3703.07
501.71	3693.57
502.88	3643.67
504.06	3558.85
505.23	3441.46
506.41	3786.51
507.59	3748.05
508.77	3749.11
509.94	3749.16
511.12	3749.17
512.30	3749.18
513.48	3749.18
514.65	3749.18
515.83	3778.35
517.01	3771.11
518.19	3742.34
519.36	3821.80
520.54	3538.26
521.71	3772.74
522.89	3791.37
524.07	3742.34
525.25	3822.01
526.42	3538.26
527.60	3772.74
528.78	3795.22
529.95	3742.34
531.13	3820.83
532.31	3575.90
533.48	3760.94
534.66	3797.34
535.84	3742.34
537.02	3821.79
538.19	3633.28
539.37	3758.74
540.55	3797.22
541.72	3742.34
542.90	3821.40
544.08	3085.23
545.25	3255.06
546.43	3255.23
547.61	3255.26
548.79	3255.27
549.96	3255.27
551.14	3255.27
552.32	3256.94
553.49	3363.08
554.67	3244.81
555.85	3252.35
557.03	3085.70
558.20	3252.05
559.38	3395.53
560.56	3244.81
561.74	3252.20
562.91	3066.62
564.09	3252.05
565.27	3405.49
566.44	3244.81
567.62	3252.20
568.79	3042.75
569.97	3252.05
571.15	3379.44
572.33	3244.81
573.50	3252.28
574.68	3042.75
575.85	3252.05
577.03	3376.76
578.21	3245.44
579.38	3257.45
580.56	3251.32
581.73	3664.96
582.91	3665.36
584.09	3665.40
585.27	3665.41
586.44	3665.42
587.62	3665.42
588.80	3665.42
589.97	3666.96
591.15	3607.30
592.33	3662.20
593.51	3826.12
594.68	3654.96
595.86	3662.50
597.04	3615.68
598.21	3662.20
599.39	3831.95
600.57	3654.96
601.75	3662.50
602.93	3628.39
604.10	3662.20
605.28	3864.21
606.46	3654.96
607.64	3662.50
608.81	3615.32
609.99	3662.20
611.17	3826.75
612.35	3654.96
613.53	3662.50
614.70	3583.08
615.88	3662.20
617.06	3801.79
618.24	3352.07
619.41	3353.96
620.59	3354.04
621.77	3354.05
622.95	3354.07
624.12	3354.07
625.30	3354.07
626.48	3354.07
627.66	3355.65
628.83	3356.34
630.01	3347.23
631.19	3439.69
632.36	3149.62
633.54	3351.00
634.72	3306.26
635.90	3347.23
637.07	3406.99
638.25	3193.45
639.43	3351.00
640.60	3264.33
641.78	3347.23
642.96	3405.22
644.13	3229.67
645.31	3350.85
646.49	3239.56
647.66	3347.23
648.84	3405.11
650.02	3261.13
651.19	3350.85
652.37	3234.21
653.55	3347.23
654.72	3403.24
655.90	3652.66
657.08	3764.01
658.25	3764.19
659.43	3764.21
660.61	3764.23
661.79	3764.23
662.96	3764.23
664.14	3764.23
665.32	3792.66
666.50	3761.12
667.67	3757.39
668.85	3836.72
670.03	3837.10
671.21	3787.30
672.39	3771.35
673.56	3757.39
674.74	3836.77
675.92	3836.10
677.10	3788.44
678.27	3782.66
679.45	3757.39
680.63	3836.73
681.81	3835.00
682.99	3786.44
684.16	3784.66
685.34	3757.39
686.52	3836.29
687.70	3835.34
688.87	3788.29
690.05	3786.66
691.23	3757.39
692.41	3837.06
693.58	3720.37
694.76	3650.00
695.94	3650.40
697.12	3650.43
698.29	3650.44
699.47	3650.44
700.65	3650.44
701.83	3650.44
703.00	3698.46
704.18	3672.37
705.36	3643.60
706.54	3441.55
707.71	3441.37
708.89	3678.00
710.06	3693.23
711.24	3643.60
712.42	3723.07
713.59	3439.96
714.77	3674.00
715.95	3697.27
717.13	3643.60
718.30	3722.99
719.48	3483.23
720.66	3674.00
721.83	3699.25
723.01	3643.60
724.19	3722.76
725.36	3524.60
726.54	3672.00
727.72	3699.21
728.90	3643.60
730.07	3723.30
731.25	2990.59
732.43	3156.35
733.60	3156.53
734.78	3156.55
735.96	3156.56
737.13	3156.57
738.31	3156.57
739.49	3156.57
740.66	3158.15
741.84	3202.10
743.02	3149.86
744.20	3243.74
745.37	3146.11
746.55	3153.49
747.72	3156.02
748.90	3150.36
750.08	3215.29
751.25	3146.11
752.43	3153.50
753.61	3084.33
754.78	3150.36
755.96	3222.38
757.14	3146.11
758.31	3153.35
759.49	3038.72
760.67	3150.50
761.84	3232.21
763.02	3146.10
764.20	3153.35
765.37	3023.20
766.55	3151.50
767.73	3230.26
768.91	3563.75
770.08	3566.55
771.26	3566.66
772.44	3566.68
773.62	3566.69
774.79	3566.70
775.97	3566.70
777.14	3566.70
778.31	3568.30
779.48	3716.27
780.65	3558.64
781.82	3605.27
782.99	3556.24
784.16	3563.48
785.34	3715.21
786.51	3558.64
787.68	3594.73
788.85	3556.24
790.02	3563.48
791.20	3714.87
792.37	3558.64
793.54	3589.21
794.71	3556.24
795.88	3563.48
797.05	3714.89
798.22	3558.01
799.39	3590.89
800.57	3556.24
801.74	3563.48
802.91	3714.65
804.08	3558.01
805.25	3590.89
806.42	3906.76
807.60	3976.64
808.77	3976.82
809.94	3976.84
811.11	3976.86
812.28	3976.86
813.46	3976.86
814.63	3976.86
815.80	3978.57
816.97	3928.95
818.14	3971.80
819.31	4056.72
820.49	3966.40
821.66	3973.64
822.83	3840.38
824.00	3971.80
825.17	4052.86
826.34	3966.40
827.52	3973.65
828.68	3830.78
829.86	3973.65
831.03	4033.91
832.20	3966.40
833.37	3973.65
834.54	4124.45
835.72	3971.80
836.89	4031.18
838.06	3966.40
839.23	3973.65
840.40	4125.85
841.57	3971.80
842.75	4024.88
843.92	2958.78
845.09	3104.06
846.26	3252.54
847.44	3340.64
848.61	3368.37
849.79	3426.67
850.97	3517.59
852.15	3524.97
853.32	3525.63
854.50	3535.04
855.68	3542.02
856.85	3542.14
858.03	3542.15
859.21	3542.27
860.39	3542.72
861.57	3542.72
862.75	3542.80
863.92	3542.80
865.10	3543.60
866.28	3543.60
867.46	3543.60
868.63	3543.60
869.81	3543.60
870.99	3543.60
872.17	3346.84
873.35	3346.84
874.52	3346.84
875.70	3362.74
876.88	3462.73
878.06	3463.62
879.24	3530.75
880.42	3530.75
881.60	3531.68
882.78	3534.74
883.96	3538.37
885.14	3538.37
886.32	3538.50
887.50	3538.50
888.68	3539.27
889.86	3539.27
891.04	3541.16
892.22	3541.16
893.40	3541.25
894.58	3541.25
895.76	3541.25
896.94	3542.98
898.12	3542.98
899.30	3542.98
900.48	3542.98
901.66	3542.98
902.84	3542.98
904.02	3542.98
905.20	3542.98
906.38	3542.98
907.56	3542.98
908.74	3542.98
909.92	3542.98
911.10	3542.98
912.28	3542.98
913.46	3542.98
914.64	3542.98
915.82	3542.98
917.00	3542.98
918.18	3542.98
919.36	3542.98
920.54	3542.98
921.72	3543.12
922.90	3543.12
924.08	3543.12
925.26	3543.92
926.44	3543.92
927.62	3543.92
928.80	3543.92
929.98	3543.92
931.16	3543.92
